Farmaco;Masa Molar Fármaco;Parametro de Solubilidad del Farmaco;Temperatura de Fusión (K);Entalpia de Fusión (kJ/mol);Volumen Molar del Fármaco;Solvente 1;Masa Molar Solv 1;Solvente 2;Masa Molar Solv 2;PS Solvente 1;PS Solvente 2;Volumen Molar Solventes 1;Volumen Molar Solventes 2;x_1;x_2;w_1;w_2;Temperatura de Estudio;x_3
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,205304967;0,794695033;0,15;0,85;283,15;0,00049700
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,205304967;0,794695033;0,15;0,85;288,15;0,00058700
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,205304967;0,794695033;0,15;0,85;293,15;0,00071300
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,205304967;0,794695033;0,15;0,85;298,15;0,00081600
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,205304967;0,794695033;0,15;0,85;303,15;0,00095600
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,205304967;0,794695033;0,15;0,85;308,15;0,00114000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,205304967;0,794695033;0,15;0,85;313,15;0,00137000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,205304967;0,794695033;0,15;0,85;318,15;0,00159000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,267929051;0,732070949;0,2;0,8;278,15;0,00045400
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,267929051;0,732070949;0,2;0,8;283,15;0,00054600
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,267929051;0,732070949;0,2;0,8;288,15;0,00064900
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,267929051;0,732070949;0,2;0,8;293,15;0,00078200
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,267929051;0,732070949;0,2;0,8;298,15;0,00091500
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,267929051;0,732070949;0,2;0,8;303,15;0,00106000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,267929051;0,732070949;0,2;0,8;308,15;0,00125000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,267929051;0,732070949;0,2;0,8;313,15;0,00151000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,267929051;0,732070949;0,2;0,8;318,15;0,00174000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,327949654;0,672050346;0,25;0,75;278,15;0,00049300
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,327949654;0,672050346;0,25;0,75;283,15;0,00059300
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,327949654;0,672050346;0,25;0,75;288,15;0,00070600
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,327949654;0,672050346;0,25;0,75;293,15;0,00084700
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,327949654;0,672050346;0,25;0,75;298,15;0,00098100
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,327949654;0,672050346;0,25;0,75;303,15;0,00117000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,327949654;0,672050346;0,25;0,75;308,15;0,00139000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,327949654;0,672050346;0,25;0,75;313,15;0,00166000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,327949654;0,672050346;0,25;0,75;318,15;0,00193000
